businessId,name,mainBusinessLineType,mainBusinessLineDescription,mainBusinessLineRegDate,postCode
0124255-4,Kuljetusliike R. Pynnönen Oy,49410,Tieliikenteen tavarankuljetus,2007-12-31,33900
0126326-7,Hele Patjas Kommandiittiyhtiö,85510,Urheilu- ja liikuntakoulutus,2020-08-10,33100
0128235-3,Kinhan Oy,14110,Nahkavaatteiden valmistus,2007-12-31,33840
0128351-6,Mediapaja Salmiset Oy,74201,Valokuvaamot ja muu kuvaustoiminta,2016-12-01,33180
0133025-5,Amerplast Oy,22220,Muovipakkausten valmistus,2007-12-31,33731
0133034-3,Hotelli Terme Oy,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33540
0133092-5,Asunto Oy Pirulankuja,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33200
0133107-1,Asunto Oy Urpunistinkatu 1-3,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33200
0137981-7,Asunto Oy Porin Lehmustuuli,68202,Asuntojen ja asuinkiinteistöjen hallinta,2011-09-23,33210
0138262-9,KlapiTuli Oy,32999,Muu muualla luokittelemattomien tuotteiden valmistus,2014-12-09,33730
0141616-3,Suomen Poliisilehden Kustannusosakeyhtiö,58142,Aikakauslehtien kustantaminen,2007-12-31,33721
0143139-8,Asunto Oy Partolanranta Pirkkala,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33100
0143450-5,Asunto-osakeyhtiö Tontti 99,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33580
0146740-3,Päivä Osakeyhtiö,58110,Kirjojen kustantaminen,2007-12-31,33100
0146765-7,Suomen Hopealinja Oy,50300,Sisävesiliikenteen henkilökuljetus,2007-12-31,33200
0146940-9,Hämeenlinnan ammattikorkeakouluopiskelijat HAKO ry,94999,Muualla luokittelemattomat muut järjestöt,2012-01-01,33580
0147132-2,Asunto Oy Jaakonkatu 69,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33210
0147218-1,Asunto Oy Lahdensivuntie 25,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33200
0147930-8,Asunto Oy Harjunherttua,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33100
0147931-6,As. Oy Harjunlukko,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33100
0147934-0,Asunto Oy Herttuanlukko,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33100
0147954-3,Asunto Oy Kotiherttua,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33500
0147962-3,Asunto Oy Liutunpuisto,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33100
0147966-6,Asunto Oy Lukonsalpa,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33710
0147967-4,Asunto Oy Mannarivi,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33100
0147968-2,Asunto Oy Marttilanrinne,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33100
0147971-1,As. Oy Mäntykelo,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33800
0147978-9,Asunto Oy Paavolanhaka,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33100
0147981-8,Asunto Oy Penttilänhaka,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33200
0147984-2,Asunto Oy Punarivi,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33100
0147986-9,Asunto Oy Kangasalan Kulkustie 3,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33100
0147992-2,Asunto Oy Rivi-Mäyrä,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33560
0148005-0,As. Oy Tuomitie 1,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33100
0148006-9,As. Oy Ukinjärvi,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33100
0148331-5,Autovuokraamo H. Laurila Oy,77110,Autojen ja kevyiden moottoriajoneuvojen vuokraus ja leasing,2007-12-31,33100
0149041-9,Pilkington Lahden Lasitehdas Oy,23110,Tasolasin valmistus,2007-12-31,33101
0149367-9,Mauri Salmi Oy,70220,Muu liikkeenjohdon konsultointi,2007-12-31,33700
0150704-9,Kauppahuone Hyvärinen Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33200
0150715-3,Lempäälän Kassatalo Oy,68202,Asuntojen ja asuinkiinteistöjen hallinta,2018-03-15,33100
0150723-3,Pirmediat Oy,58130,Sanomalehtien kustantaminen,2007-12-31,33200
0150840-4,Asunto Oy Lemposrinne,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33800
0151507-3,YH Kodit Oy,41100,Rakennuttaminen ja rakennushankkeiden kehittäminen,2007-12-31,33200
0151516-1,Kiinteistö Oy Kahilankulma,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33300
0151547-9,Kiinteistö Oy Nokian Pirkkalaistori,68202,Asuntojen ja asuinkiinteistöjen hallinta,2018-04-23,33300
0151639-1,As Oy Kyyninkatu 9,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33300
0151646-3,Asunto-oy Nokian Ilkantie 9,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33300
0151654-3,Asunto Oy Nokian Hopeahovi,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33300
0151657-8,Asunto Oy Orelinhaka,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33870
0151828-2,Kiinteistö Oy Naarajoki,68201,Asuntojen vuokraus,2007-12-31,33900
0151987-5,R. Koivusen Konepaja Ky,28490,Muiden konetyökalujen valmistus,2007-12-31,33200
0152010-4,Vuokratila H&K Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33200
0152038-2,Mikro-Pulssi Oy,27900,Muiden sähkölaitteiden valmistus,2007-12-31,33900
0152098-0,As Oy Koivukuja 1,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33520
0152102-7,Asunto-oy Kyöstinkartano,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33540
0152104-3,Asunto-osakeyhtiö Kyöstinrivi,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33200
0152107-8,Asunto Oy Lokkiranta 1,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33820
0152110-7,Asunto Oy Lokkiranta 4,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33800
0152113-1,Asunto Oy Loukonluoto,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33200
0152127-0,Asunto Oy Pirkanlinna,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33100
0152128-9,Asunto Oy Pirkannuoli,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33710
0152131-8,Asunto Oy Pirkanpiha,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33210
0152132-6,Asunto Oy Pirkanpiiri,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33800
0152133-4,Asunto-osakeyhtiö Pirkanvalli,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33530
0152135-0,As. Oy Pirkkalan Kartanonkuja 3,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33210
0152137-7,Asunto Oy Pirkkalan Rinnekoti,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33540
0152143-0,Asunto Oy Suupanpuisto,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33540
0152147-3,Asunto Oy Veräjä,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33200
0152791-2,Pääsiälän Osakeyhtiö,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33240
0152890-7,Artekno-Saarioinen Oy,64200,Rahoitusalan holdingyhtiöiden toiminta,2007-12-31,33101
0152891-5,Herkku-Broiler Oy,10130,Liha- ja siipikarjatuotteiden valmistus,2007-12-31,33101
0152895-8,Saarioinen Oy,10850,Einesten ja valmisruokien valmistus,2015-04-29,33101
0153199-7,Agtuvi Oy,14190,Muiden vaatteiden ja asusteiden valmistus,2007-12-31,33840
0153203-3,Painotalo Oy Esko Ahtee,18120,Muu painaminen,2007-12-31,33330
0153211-3,The Anglo-Finnish Institute Nicholas Collings Kommandiittiyhtiö,85593,Kielikoulut ja -opistot,2007-12-31,33210
0153228-7,Syrjänen & Toikka Oy,64990,Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta),2018-04-30,33100
0153245-5,Kapsoni Oy,64990,Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta),2022-04-29,33400
0153290-6,LM Investointi Oy,66300,Omaisuudenhoitotoiminta,2022-08-19,33200
0153303-6,Remmitalo Virolainen Oy,15120,"Matka-, käsi- ym. laukkujen, satuloiden ja valjaiden valmistus",2007-12-31,33330
0153306-0,Hämeen Autopurkaamo Oy,46770,Jätteen ja romun tukkukauppa,2007-12-31,33730
0153312-4,Impomet Oy,46699,Muualla luokittelemattomien koneiden ja laitteiden tukkukauppa,2020-08-05,33900
0153428-2,Louhintaliike E. Sirén Ky,23700,"Kiven leikkaaminen, muotoilu ja viimeistely",2007-12-31,33210
0153433-8,GS-Yhtymä Oy,10840,Mausteiden ja maustekastikkeiden valmistus,2007-12-31,33900
0153454-9,Kiinteistö Oy Pirkkalan Vaittintie 9,68209,Muiden kiinteistöjen vuokraus ja hallinta,2017-11-15,33700
0153457-3,KM-Pyörä Ky,25990,Muiden metallituotteiden valmistus,2007-12-31,33400
0153458-1,Metalliliike Lehtinen & Joensuu Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33400
0153468-8,Monimark Oy,47719,Vaatteiden yleisvähittäiskauppa,2016-04-08,33500
0153473-3,Muotopeite Oy,13922,"Tavaranpeitteiden, purjeiden ja muiden sovitettujen tekstiilituotteiden valmistus",2007-12-31,33720
0153478-4,Kommandiittiyhtiö Sauli Mäkinen,10710,Leivän valmistus; tuoreiden leivonnaisten ja kakkujen valmistus,2007-12-31,33720
0153486-4,Nevil Oy,14190,Muiden vaatteiden ja asusteiden valmistus,2007-12-31,33100
0153488-0,Veljekset Niinimäki,43120,Rakennuspaikan valmistelutyöt,2007-12-31,33250
0153505-8,Painosorvaamo Udelius Ky,25990,Muiden metallituotteiden valmistus,2007-12-31,33720
0153527-7,Pukimo Majaranta Ky,47711,Naisten vaatteiden vähittäiskauppa,2007-12-31,33200
0153529-3,Putkiasennus P. Sinkkonen kommandiittiyhtiö,43220,"Lämpö-, vesijohto- ja ilmastointiasennus",2007-12-31,33680
0153533-0,Tilitoimisto Pyhältö ja Kumpp. Ky,69201,Kirjanpito- ja tilinpäätöspalvelu,2007-12-31,33100
0153586-7,Scanman Oy,46421,Vaatteiden tukkukauppa,2007-12-31,33821
0153588-3,Ky Semberg & Co,46499,Muu kotitaloustavaroiden tukkukauppa,2007-12-31,33900
0153591-2,Sidoste Oy,14310,Sukkien ja sukkahousujen valmistus,2007-12-31,33821
0153634-1,Tammer Brands Oy,46499,Muu kotitaloustavaroiden tukkukauppa,2007-12-31,33101
0153639-2,Tampereen Asema-Optiikka Suurkari Ky,47783,Optisen alan vähittäiskauppa,2007-12-31,33100
0153641-3,Alfa Nieminen & Virtanen,46770,Jätteen ja romun tukkukauppa,2007-12-31,33720
0153648-0,Gallant Oy,69201,Kirjanpito- ja tilinpäätöspalvelu,2013-08-14,33200
0153649-9,Aallon Tampere Oy,69201,Kirjanpito- ja tilinpäätöspalvelu,2007-12-31,33101
0153659-5,Polarmatic Oy,28290,Muualla luokittelematon yleiskäyttöön tarkoitettujen koneiden valmistus,2007-12-31,33720
0153671-2,Tampereen Yleiskopio Oy,82191,Sihteeri- ja muu toimistopalvelu,2007-12-31,33100
0153673-9,Tam-Tele Oy,46521,Viestintälaitteiden tukkukauppa,2007-12-31,33560
0153677-1,Teholehtinen Oy,41200,Asuin- ja muiden rakennusten rakentaminen,2007-12-31,33900
0153682-7,Teleoptiikka Oy,47783,Optisen alan vähittäiskauppa,2007-12-31,33210
0153693-1,Tilitoimisto K.J.Westerberg Oy,69201,Kirjanpito- ja tilinpäätöspalvelu,2007-12-31,33100
0153713-3,SNT-Yhtiöt Oy,46760,Muiden välituotteiden tukkukauppa,2007-12-31,33300
0153724-8,VK-Holding Oy,68100,Omien kiinteistöjen kauppa,2007-12-31,33800
0153791-8,Tampereen Energia Oy,35113,Sähkön ja kaukolämmön yhteistuotanto,2017-03-15,33100
0153813-6,Annamarkka Oy,64990,Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta),2007-12-31,14450
0153826-7,Ata Gears Oy,28150,"Laakereiden, hammaspyörien, vaihteisto- ja ohjauselementtien valmistus",2007-12-31,33101
0153828-3,Ateljeetalo Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33720
0153829-1,Kiinteistöosakeyhtiö Viialantie 11 A,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33710
0153831-2,Asunto Oy Tampereen Aurinkopyörä,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33100
0153836-3,Automaattipojat Oy,68201,Asuntojen vuokraus,2007-12-31,33820
0153890-2,Dentrum Oy,86230,Hammaslääkäripalvelut,2007-12-31,33200
0153902-4,Asunto Oy Tampereen Elvalan Lämpö,68202,Asuntojen ja asuinkiinteistöjen hallinta,2011-08-08,33270
0153914-7,Erämies Oy,47641,Urheiluvälineiden ja polkupyörien vähittäiskauppa,2007-12-31,33101
0153955-0,Toypap-Import Oy,46496,Lelujen ja pelien tukkukauppa,2007-12-31,33101
0153979-6,Asunto Oy Hakametsän Kiinteistö,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33540
0153990-5,Hannulan Hallit Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33610
0153999-9,Kiinteistö Oy Tampereen LähiKulma,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33500
0154000-9,Asunto Oy Tampereen Järvensivuntie 69,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33200
0154016-4,Huurreviipale Oy,64990,Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta),2007-12-31,33100
0154020-1,Oy K. Hjorth Ab,46493,Urheilualan tukkukauppa,2007-12-31,33310
0154038-3,Hyötylämpö Oy,71124,LVI-tekninen suunnittelu,2007-12-31,33800
0154049-8,Hämeen Kuljetus Oy,52299,Muu kuljetusvälitys,2007-12-31,33900
0154052-7,HL-TK Invest Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2018-05-01,33580
0154062-3,Aleksin Ravintolat Oy,56101,Ravintolat,2007-12-31,33210
0154063-1,Kiinteistö Oy Hämeenkivi,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33100
0154070-3,Iidesjärven Liiketalo Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33500
0154081-8,Oy Indau Ab,28290,Muualla luokittelematon yleiskäyttöön tarkoitettujen koneiden valmistus,2007-12-31,33480
0154084-2,Campusravita Oy,56290,Henkilöstö- ja laitosruokalat,2007-12-31,33520
0154088-5,Insta Group Oy,82110,Yhdistetyt toimistopalvelut,2009-01-01,33901
0154096-5,Jakolämpö Oy,68320,Kiinteistöjen isännöinti,2007-12-31,33200
0154098-1,Topatsu Oy,82990,Muut palvelut liike-elämälle,2021-12-03,33820
0154107-9,Tampereen Asuntopari Oy,68310,Kiinteistönvälitys,2007-12-31,33500
0154117-5,Kiinteistö Oy Juvanpuiston Liiketalo,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33710
0154118-3,Jyrsin Oy,42999,Muu muualla luokittelematon maa- ja vesirakentaminen,2007-12-31,33330
0154130-0,Kaiharin Kulma Kiinteistöosakeyhtiö,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33101
0154162-6,Katsa Oy,28150,"Laakereiden, hammaspyörien, vaihteisto- ja ohjauselementtien valmistus",2007-12-31,33101
0154177-3,Keinupuistokeskus Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33540
0154180-2,Kenkäkeskus Oy,68201,Asuntojen vuokraus,2007-12-31,33200
0154184-5,Kenttäkivi Oy,42999,Muu muualla luokittelematon maa- ja vesirakentaminen,2007-12-31,33330
0154188-8,Keskipakovalu Oy,24540,Muiden värimetallien valu,2007-12-31,33730
0154221-5,Koiso Oy,47719,Vaatteiden yleisvähittäiskauppa,2007-12-31,33200
0154262-9,As Oy Tampereen Kuikankatu 2,68202,Asuntojen ja asuinkiinteistöjen hallinta,2012-11-23,33210
0154287-2,Asunto Oy Tampereen Ylisenkatu 6,68202,Asuntojen ja asuinkiinteistöjen hallinta,2014-05-27,33710
0154305-8,Laatukattila Oy,25210,Keskuslämmityspatterien ja kuumavesivaraajien valmistus,2007-12-31,33800
0154309-0,KARILE OY,68209,Muiden kiinteistöjen vuokraus ja hallinta,2021-08-24,33100
0154311-1,Wavin Finland Oy,22230,Rakennusmuovien valmistus,2007-12-31,33720
0154314-6,KI Alander Oy,66190,Muu rahoitusta palveleva toiminta (pl. vakuutus- ja eläkevakuutustoiminta),2011-03-14,02180
0154332-2,Lapin Tehdastalo Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33840
0154354-1,Leivon Leipomo Oy,10710,Leivän valmistus; tuoreiden leivonnaisten ja kakkujen valmistus,2007-12-31,33530
0154359-2,Leoko Oy,32300,Urheiluvälineiden valmistus,2007-12-31,33730
0154368-0,Raven Tree Oy,79900,"Varauspalvelut, matkaoppaiden palvelut ym.",2020-01-23,33230
0154369-9,H. Liljeroos Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33200
0154374-4,Linkosuon Kahvila Oy,56102,Kahvila-ravintolat,2007-12-31,33101
0154385-9,Lomania Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33610
0154399-8,Kiinteistö Oy Länsi-Tesoman Liikekeskus,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33100
0154426-1,Kiinteistö Oy Malminhaka,68202,Asuntojen ja asuinkiinteistöjen hallinta,2014-05-27,33101
0154433-3,Marjanella Oy,64990,Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta),2007-12-31,33821
0154444-8,O. Mattilan Saha O/Y,70220,Muu liikkeenjohdon konsultointi,2014-09-10,33680
0154490-7,Muototerä Oy,25730,Työkalujen valmistus,2007-12-31,33100
0154505-3,Nappari Oy,68100,Omien kiinteistöjen kauppa,2024-08-14,33100
0154529-9,Nikander ja Wiinikka Oy,46240,Turkisten ja nahkojen tukkukauppa,2007-12-31,33101
0154567-8,Kiinteistö Oy Onkiniemenkodit,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33720
0154583-8,Pajakulma Oy,45201,Moottoriajoneuvojen huolto ja korjaus (pl. renkaat),2007-12-31,33101
0154598-5,Patja ja Peite Oy,46411,Kangas- ja lankatukkukauppa,2007-12-31,33730
0154606-4,Pelipuiston Lähipalvelukeskus Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33100
0154629-1,Kiinteistö Oy Tampereen Pinkola,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33500
0154650-7,PK-Paino Oy,18120,Muu painaminen,2007-12-31,33800
0154682-2,Asunto Oy Puistositka,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33210
0154730-7,Rautasoini Oy,46770,Jätteen ja romun tukkukauppa,2007-12-31,33800
0154746-2,Ristimäen Teollisuustalo Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33200
0154755-0,Oy Runoilijan tie,50300,Sisävesiliikenteen henkilökuljetus,2007-12-31,33200
0154758-5,Ruotulan Lämpökeskus Oy,35301,Kaukolämmön ja -kylmän erillistuotanto ja jakelu,2007-12-31,33200
0154792-1,Asunto Oy Tampereen Satosirkka,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33840
0154797-2,Saukonmäki Oy,81100,Kiinteistönhoito,2007-12-31,33500
0154908-9,Kiinteistö Oy Säästäjäntori,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33100
0154917-7,Yrityspalvelu Ankkuri Oy,69201,Kirjanpito- ja tilinpäätöspalvelu,2007-12-31,33710
0154939-6,Autokoulu Ilves Oy,85530,Kuljettajakoulutus,2007-12-31,33100
0154963-6,Sandvik Coromant Finland Oy,46741,Työkalu- ja tarviketukkukauppa,2018-01-17,33311
0154992-7,Kiinteistö Oy Tampereen Jukola,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,36200
0155011-9,Tampereen Kone ja Kuljetus Oy,43120,Rakennuspaikan valmistelutyöt,2007-12-31,33400
0155020-7,Tampereen Kulta-Aika Oy,47770,Kultasepänteosten ja kellojen vähittäiskauppa,2007-12-31,33210
0155031-1,Tampereen Lihajaloste Oy,10130,Liha- ja siipikarjatuotteiden valmistus,2007-12-31,33270
0155035-4,Tampereen Maalaamo Oy,43341,Maalaus,2007-12-31,33720
0155043-4,Tampereen Messut Oy,82300,Messujen ja kongressien järjestäminen,2007-12-31,33901
0155047-7,Tampereen Notariaatti Oy,68310,Kiinteistönvälitys,2007-12-31,34870
0155054-9,Tampereen Pienteollisuustalo Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33100
0155061-0,Tampereen Puutarha-Center Oy,81300,Maisemanhoitopalvelut,2007-12-31,33531
0155063-7,Finnpark Oy,52213,Maksullinen pysäköinti,2007-12-31,33211
0155082-1,Tampereen Sähkö Oy,47592,Sähkötarvikkeiden ja valaisimien vähittäiskauppa,2007-12-31,33100
0155085-6,Tampereen Särkänniemi Oy,93210,Huvi- ja teemapuistojen toiminta,2007-12-31,33230
0155096-0,Tampereen Vaihtokone Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33840
0155118-9,Tamrala Oy,68201,Asuntojen vuokraus,2007-12-31,33100
0155126-9,Sentteri Tampere Oy,93120,Urheiluseurojen toiminta,2007-12-31,33710
0155133-0,Tasalämpö Oy,81100,Kiinteistönhoito,2007-12-31,33540
0155144-5,As Oy Teerikallio Tampere,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33200
0155179-5,Kiinteistö Oy Tesomankeskus,68202,Asuntojen ja asuinkiinteistöjen hallinta,2018-04-05,33200
0155197-1,Tilityöt Oy,64990,Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta),2007-12-31,33230
0155205-0,Kiinteistö Oy Tohlopinkontu,68202,Asuntojen ja asuinkiinteistöjen hallinta,2014-05-27,00610
0155208-5,Toimistotarvike Oy,46491,Paperi- ja toimistotarvikkeiden tukkukauppa,2007-12-31,33540
0155223-7,Kiinteistöosakeyhtiö Trikootalot,68201,Asuntojen vuokraus,2007-12-31,33101
0155255-2,Bostik Oy,46739,Rakennustarvikkeiden yleistukkukauppa,2007-12-31,20520
0155262-4,Kiinteistö Oy Pyhäkero,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33610
0155264-0,Uudenkylän Työväentalo Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33540
0155270-4,Vaihtomoottori Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2010-11-01,33560
0155272-0,Maalausliike Vainiomäki Oy,43341,Maalaus,2007-12-31,33900
0155300-2,Hakalan Verhoomo Oy,45201,Moottoriajoneuvojen huolto ja korjaus (pl. renkaat),2007-12-31,33840
0155319-2,Asunto Oy Tampereen Villa-Pensas,68202,Asuntojen ja asuinkiinteistöjen hallinta,2010-06-01,33800
0155321-3,Virontörmän Lämpö Oy,81100,Kiinteistönhoito,2007-12-31,33300
0155344-0,Yhteishotelli Oy,64990,Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta),2015-12-03,33100
0155346-7,Ykkös-Auto Oy,45112,Henkilöautojen ja kevyiden moottoriajoneuvojen vähittäiskauppa,2007-12-31,33800
0155351-2,AC Audit Consulting Oy,70220,Muu liikkeenjohdon konsultointi,2007-12-31,33840
0155357-1,Peijakka osk.,56290,Henkilöstö- ja laitosruokalat,2007-12-31,33900
0155362-7,Kaukajärviosuuskunta,81100,Kiinteistönhoito,2007-12-31,33710
0155365-1,Osuusruokala Masuni,56290,Henkilöstö- ja laitosruokalat,2007-12-31,33311
0155367-8,Osuuskunta Lamminpää,94999,Muualla luokittelemattomat muut järjestöt,2007-12-31,33420
0155369-4,Lentokonetehtaan Ravinto-osuuskunta,56290,Henkilöstö- ja laitosruokalat,2007-12-31,33710
0155453-1,Kooveen Tuki ry,85510,Urheilu- ja liikuntakoulutus,2007-12-31,33540
0155457-4,Kristosofian Kannatusyhdistys r.y.,94999,Muualla luokittelemattomat muut järjestöt,2007-12-31,33100
0155460-3,C. V. Åkerlundin mediasäätiö sr,94999,Muualla luokittelemattomat muut järjestöt,2007-12-31,33101
0155461-1,Kutomatyöläisten Säätiö sr,94120,Ammattialajärjestöjen toiminta,2007-12-31,33210
